package_name,package_type,versions,xray_ids
poper-react-sdk,npm,[0.1.2],XRAY-898079
@posthog/agent,npm,[1.24.1],XRAY-897929
@posthog/ai,npm,[7.1.2],XRAY-898209
@posthog/automatic-cohorts-plugin,npm,[0.0.8],XRAY-898166
@posthog/bitbucket-release-tracker,npm,[0.0.8],XRAY-897967
@posthog/cli,npm,[0.5.15],XRAY-898273
@posthog/clickhouse,npm,[1.7.1],XRAY-898054
@posthog/core,npm,[1.5.6],XRAY-898094
@posthog/currency-normalization-plugin,npm,[0.0.8],XRAY-898283
@posthog/customerio-plugin,npm,[0.0.8],XRAY-898410
@posthog/databricks-plugin,npm,[0.0.8],XRAY-897972
posthog-docusaurus,npm,[2.0.6],XRAY-898433
@posthog/drop-events-on-property-plugin,npm,[0.0.8],XRAY-898031
@posthog/event-sequence-timer-plugin,npm,[0.0.8],XRAY-898307
@posthog/filter-out-plugin,npm,[0.0.8],XRAY-898523
@posthog/first-time-event-tracker,npm,[0.0.8],XRAY-898270
@posthog/geoip-plugin,npm,[0.0.8],XRAY-898000
@posthog/github-release-tracking-plugin,npm,[0.0.8],XRAY-898469
@posthog/gitub-star-sync-plugin,npm,[0.0.8],XRAY-898041
@posthog/heartbeat-plugin,npm,[0.0.8],XRAY-898186
@posthog/hedgehog-mode,npm,[0.0.42],XRAY-897957
@posthog/icons,npm,[0.36.1],XRAY-898496
@posthog/ingestion-alert-plugin,npm,[0.0.8],XRAY-897947
@posthog/intercom-plugin,npm,[0.0.8],XRAY-898055
posthog-js,npm,[1.297.3],XRAY-898208
@posthog/kinesis-plugin,npm,[0.0.8],XRAY-898453
@posthog/laudspeaker-plugin,npm,[0.0.8],XRAY-898015
@posthog/lemon-ui,npm,[0.0.1],XRAY-898050
@posthog/maxmind-plugin,npm,[0.1.6],XRAY-898300
@posthog/migrator3000-plugin,npm,[0.0.8],XRAY-898294
@posthog/netdata-event-processing,npm,[0.0.8],XRAY-898360
@posthog/nextjs,npm,[0.0.3],XRAY-898369
@posthog/nextjs-config,npm,[1.5.1],XRAY-898438
posthog-node,npm,"[5.11.3], [4.18.1], [5.13.3]",XRAY-898110
@posthog/nuxt,npm,[1.2.9],XRAY-898215
@posthog/pagerduty-plugin,npm,[0.0.8],XRAY-898423
@posthog/piscina,npm,[3.2.1],XRAY-898026
@posthog/plugin-contrib,npm,[0.0.6],XRAY-898048
posthog-plugin-hello-world,npm,[1.0.1],XRAY-898454
@posthog/plugin-server,npm,[1.10.8],XRAY-898039
@posthog/plugin-unduplicates,npm,[0.0.8],XRAY-898214
@posthog/postgres-plugin,npm,[0.0.8],XRAY-898473
posthog-react-native,npm,"[4.12.5], [4.11.1]",XRAY-898394
posthog-react-native-session-replay,npm,[1.2.2],XRAY-898406
@posthog/react-rrweb-player,npm,[1.1.4],XRAY-897926
@posthog/rrdom,npm,[0.0.31],XRAY-898407
@posthog/rrweb,npm,[0.0.31],XRAY-898409
@posthog/rrweb-player,npm,[0.0.31],XRAY-898320
@posthog/rrweb-record,npm,[0.0.31],XRAY-898504
@posthog/rrweb-replay,npm,[0.0.19],XRAY-898030
@posthog/rrweb-snapshot,npm,[0.0.31],XRAY-898232
@posthog/rrweb-utils,npm,[0.0.31],XRAY-898483
@posthog/sendgrid-plugin,npm,[0.0.8],XRAY-898235
@posthog/siphash,npm,[1.1.2],XRAY-898347
@posthog/snowflake-export-plugin,npm,[0.0.8],XRAY-898029
@posthog/taxonomy-plugin,npm,[0.0.8],XRAY-898156
@posthog/twilio-plugin,npm,[0.0.8],XRAY-898193
@posthog/twitter-followers-plugin,npm,[0.0.8],XRAY-898308
@posthog/url-normalizer-plugin,npm,[0.0.8],XRAY-898075
@posthog/variance-plugin,npm,[0.0.8],XRAY-898487
@posthog/web-dev-server,npm,[1.0.5],XRAY-897997
@posthog/wizard,npm,[1.18.1],XRAY-898464
@posthog/zendesk-plugin,npm,[0.0.8],XRAY-898123
@postman/aether-icons,npm,"[2.23.4], [2.23.3], [2.23.2]",XRAY-898205
@postman/csv-parse,npm,"[4.0.3], [4.0.4], [4.0.5]",XRAY-898190
@postman/final-node-keytar,npm,"[7.9.3], [7.9.1], [7.9.2]",XRAY-898392
@postman/mcp-ui-client,npm,"[5.5.2], [5.5.1], [5.5.3]",XRAY-898213
@postman/node-keytar,npm,"[7.9.5], [7.9.4], [7.9.6]",XRAY-898355
@postman/pm-bin-linux-x64,npm,"[1.24.4], [1.24.3], [1.24.5]",XRAY-898510
@postman/pm-bin-macos-arm64,npm,"[1.24.5], [1.24.4], [1.24.3]",XRAY-898113
@postman/pm-bin-macos-x64,npm,"[1.24.3], [1.24.5], [1.24.4]",XRAY-898082
@postman/pm-bin-windows-x64,npm,"[1.24.3], [1.24.5], [1.24.4]",XRAY-898324
@postman/postman-collection-fork,npm,"[4.3.3], [4.3.5], [4.3.4]",XRAY-898149
@postman/postman-mcp-cli,npm,"[1.0.3], [1.0.5], [1.0.4]",XRAY-897971
@postman/postman-mcp-server,npm,"[2.4.12], [2.4.11], [2.4.10]",XRAY-898474
@postman/pretty-ms,npm,"[6.1.2], [6.1.3], [6.1.1]",XRAY-898189
@postman/secret-scanner-wasm,npm,"[2.1.3], [2.1.4], [2.1.2]",XRAY-898378
@postman/tunnel-agent,npm,"[0.6.6], [0.6.7], [0.6.5]",XRAY-897924
@postman/wdio-allure-reporter,npm,"[0.0.7], [0.0.8], [0.0.9]",XRAY-898388
@postman/wdio-junit-reporter,npm,"[0.0.4], [0.0.5], [0.0.6]",XRAY-898045
@pradhumngautam/common-app,npm,[1.0.2],XRAY-898428
prime-one-table,npm,[0.0.19],XRAY-898318
@productdevbook/animejs-vue,npm,[0.2.1],XRAY-898647
@productdevbook/auth,npm,[0.2.2],XRAY-898673
@productdevbook/chatwoot,npm,[2.0.1],XRAY-898607
@productdevbook/motion,npm,[1.0.4],XRAY-898666
@productdevbook/ts-i18n,npm,[1.4.2],XRAY-898650
prompt-eng,npm,[1.0.50],XRAY-898264
prompt-eng-server,npm,[1.0.18],XRAY-898016
@pruthvi21/use-debounce,npm,[1.0.3],XRAY-898268
puny-req,npm,[1.0.3],XRAY-898315
@quick-start-soft/quick-document-translator,npm,[1.4.2511142126],XRAY-898036
@quick-start-soft/quick-git-clean-markdown,npm,[1.4.2511142126],XRAY-898053
@quick-start-soft/quick-markdown,npm,[1.4.2511142126],XRAY-897902
@quick-start-soft/quick-markdown-compose,npm,[1.4.2506300029],XRAY-898221
@quick-start-soft/quick-markdown-image,npm,[1.4.2511142126],XRAY-898091
@quick-start-soft/quick-markdown-print,npm,[1.4.2511142126],XRAY-898146
@quick-start-soft/quick-markdown-translator,npm,[1.4.2509202331],XRAY-898207
@quick-start-soft/quick-remove-image-background,npm,[1.4.2511142126],XRAY-898260
@quick-start-soft/quick-task-refine,npm,[1.4.2511142126],XRAY-898148
quickswap-ads-list,npm,[1.0.33],XRAY-898670
quickswap-default-staking-list,npm,[1.0.11],XRAY-898685
quickswap-default-staking-list-address,npm,[1.0.55],XRAY-898672
quickswap-default-token-list,npm,[1.5.16],XRAY-898704
quickswap-router-sdk,npm,[1.0.1],XRAY-898678
quickswap-sdk,npm,[3.0.44],XRAY-898634
quickswap-smart-order-router,npm,[1.0.1],XRAY-898640
quickswap-token-lists,npm,[1.0.3],XRAY-898658
quickswap-v2-sdk,npm,[2.0.1],XRAY-898664
ra-auth-firebase,npm,[1.0.3],XRAY-897923
ra-data-firebase,npm,"[1.0.8], [1.0.7]",XRAY-898117
react-component-taggers,npm,[0.1.9],XRAY-898509
react-data-to-export,npm,[1.0.1],XRAY-898617
react-element-prompt-inspector,npm,[0.1.18],XRAY-898434
react-favic,npm,[1.0.2],XRAY-898478
react-hook-form-persist,npm,"[3.0.2], [3.0.1]",XRAY-898064
react-jam-icons,npm,"[1.0.2], [1.0.1]",XRAY-898179
react-keycloak-context,npm,"[1.0.9], [1.0.8]",XRAY-898171
react-library-setup,npm,[0.0.6],XRAY-898233
react-linear-loader,npm,[1.0.2],XRAY-898135
react-micromodal.js,npm,"[1.0.1], [1.0.2]",XRAY-898105
react-native-datepicker-modal,npm,"[1.3.1], [1.3.2]",XRAY-898455
react-native-email,npm,"[2.1.1], [2.1.2]",XRAY-898266
react-native-fetch,npm,"[2.0.1], [2.0.2]",XRAY-898515
react-native-get-pixel-dimensions,npm,"[1.0.2], [1.0.1]",XRAY-898479
react-native-google-maps-directions,npm,[2.1.2],XRAY-898107
react-native-jam-icons,npm,"[1.0.1], [1.0.2]",XRAY-898032
react-native-log-level,npm,"[1.2.1], [1.2.2]",XRAY-898138
react-native-modest-checkbox,npm,[3.3.1],XRAY-898401
react-native-modest-storage,npm,[2.1.1],XRAY-898317
react-native-phone-call,npm,"[1.2.2], [1.2.1]",XRAY-898037
react-native-retriable-fetch,npm,"[2.0.1], [2.0.2]",XRAY-898084
react-native-use-modal,npm,[1.0.3],XRAY-898181
react-native-view-finder,npm,"[1.2.2], [1.2.1]",XRAY-898169
react-native-websocket,npm,"[1.0.3], [1.0.4]",XRAY-898083
react-native-worklet-functions,npm,[3.3.3],XRAY-898211
react-packery-component,npm,[1.0.3],XRAY-898569
react-qr-image,npm,[1.1.1],XRAY-898393
react-scrambled-text,npm,[1.0.4],XRAY-898578
rediff,npm,[1.0.5],XRAY-898545
rediff-viewer,npm,[0.0.7],XRAY-898543
redux-forge,npm,[2.5.3],XRAY-897912
redux-router-kit,npm,"[1.2.2], [1.2.4], [1.2.3]",XRAY-898358
@relyt/claude-context-core,npm,[0.1.1],XRAY-898058
@relyt/claude-context-mcp,npm,[0.1.1],XRAY-898507
@relyt/mcp-server-relytone,npm,[0.0.3],XRAY-898495
revenuecat,npm,[1.0.1],XRAY-898616
rollup-plugin-httpfile,npm,[0.2.1],XRAY-898544
sa-company-registration-number-regex,npm,"[1.0.2], [1.0.1]",XRAY-898319
sa-id-gen,npm,"[1.0.5], [1.0.4]",XRAY-898172
@sameepsi/sor,npm,[1.0.3],XRAY-898707
@sameepsi/sor2,npm,[2.0.2],XRAY-898700
samesame,npm,[1.0.3],XRAY-898414
scgs-capacitor-subscribe,npm,[1.0.11],XRAY-898274
scgsffcreator,npm,[1.0.5],XRAY-898002
schob,npm,[1.0.3],XRAY-898724
@seezo/sdr-mcp-server,npm,[0.0.5],XRAY-898095
selenium-session,npm,[1.0.5],XRAY-897956
selenium-session-client,npm,[1.0.4],XRAY-898022
set-nested-prop,npm,"[2.0.2], [2.0.1]",XRAY-898430
@seung-ju/next,npm,[0.0.2],XRAY-897934
@seung-ju/openapi-generator,npm,[0.0.4],XRAY-898069
@seung-ju/react-hooks,npm,[0.0.2],XRAY-898437
@seung-ju/react-native-action-sheet,npm,[0.2.1],XRAY-898291
shelf-jwt-sessions,npm,[0.1.2],XRAY-897978
shell-exec,npm,"[1.1.4], [1.1.3]",XRAY-898293
shinhan-limit-scrap,npm,[1.0.3],XRAY-897936
silgi,npm,[0.43.30],XRAY-898649
@silgi/better-auth,npm,[0.8.1],XRAY-898687
@silgi/drizzle,npm,[0.8.4],XRAY-898677
@silgi/ecosystem,npm,[0.7.6],XRAY-898726
@silgi/graphql,npm,[0.7.15],XRAY-898653
@silgi/module-builder,npm,[0.8.8],XRAY-898609
@silgi/openapi,npm,[0.7.4],XRAY-898690
@silgi/permission,npm,[0.6.8],XRAY-898725
@silgi/ratelimit,npm,[0.2.1],XRAY-898618
@silgi/scalar,npm,[0.6.2],XRAY-898675
@silgi/yoga,npm,[0.7.1],XRAY-898667
simplejsonform,npm,[1.0.1],XRAY-898564
skills-use,npm,"[0.1.2], [0.1.1]",XRAY-898210
@sme-ui/aoma-vevasound-metadata-lib,npm,[0.1.3],XRAY-897911
solomon-api-stories,npm,[1.0.2],XRAY-898532
solomon-v3-stories,npm,[1.15.6],XRAY-898269
solomon-v3-ui-wrapper,npm,[1.6.1],XRAY-898165
soneium-acs,npm,[1.0.1],XRAY-898709
sort-by-distance,npm,[2.0.1],XRAY-898491
south-african-id-info,npm,[1.0.2],XRAY-897980
stat-fns,npm,[1.0.1],XRAY-898194
stoor,npm,[2.3.2],XRAY-898351
@strapbuild/react-native-date-time-picker,npm,[2.0.4],XRAY-898137
@strapbuild/react-native-perspective-image-cropper,npm,[0.4.15],XRAY-898140
@strapbuild/react-native-perspective-image-cropper-2,npm,[0.4.7],XRAY-898222
@strapbuild/react-native-perspective-image-cropper-poojan31,npm,[0.4.6],XRAY-898377
sufetch,npm,[0.4.1],XRAY-898643
super-commit,npm,[1.0.1],XRAY-898412
@suraj_h/medium-common,npm,[1.0.5],XRAY-898555
svelte-autocomplete-select,npm,[1.1.1],XRAY-898012
svelte-toasty,npm,"[1.1.3], [1.1.2]",XRAY-898321
tanstack-shadcn-table,npm,[1.1.5],XRAY-898121
tavily-module,npm,[1.0.1],XRAY-898567
tcsp,npm,[2.0.2],XRAY-897993
tcsp-draw-test,npm,[1.0.5],XRAY-898196
tcsp-test-vd,npm,[2.4.4],XRAY-898040
template-lib,npm,"[1.1.3], [1.1.4]",XRAY-897950
template-micro-service,npm,"[1.0.3], [1.0.2]",XRAY-898081
tenacious-fetch,npm,"[2.3.2], [2.3.3]",XRAY-898352
test23112222-api,npm,[1.0.1],XRAY-898017
test-foundry-app,npm,"[1.0.1], [1.0.4], [1.0.3], [1.0.2]",XRAY-897986
test-hardhat-app,npm,"[1.0.1], [1.0.4], [1.0.3], [1.0.2]",XRAY-898470
@thedelta/eslint-config,npm,[1.0.2],XRAY-898237
tiaan,npm,[1.0.2],XRAY-898122
@tiaanduplessis/json,npm,"[2.0.3], [2.0.2]",XRAY-898382
@tiaanduplessis/react-progressbar,npm,"[1.0.1], [1.0.2]",XRAY-898415
tiptap-shadcn-vue,npm,[0.2.1],XRAY-898637
token.js-fork,npm,[0.7.32],XRAY-897958
toonfetch,npm,[0.3.2],XRAY-898645
@trackstar/angular-trackstar-link,npm,[1.0.2],XRAY-898563
@trackstar/react-trackstar-link,npm,[2.0.21],XRAY-898589
@trackstar/react-trackstar-link-upgrade,npm,[1.1.10],XRAY-898571
@trackstar/test-angular-package,npm,[0.0.9],XRAY-898575
@trackstar/test-package,npm,[1.1.5],XRAY-898586
@trefox/sleekshop-js,npm,[0.1.6],XRAY-898476
@trigo/atrix,npm,[7.0.1],XRAY-898486
@trigo/atrix-acl,npm,[4.0.2],XRAY-897996
@trigo/atrix-elasticsearch,npm,[2.0.1],XRAY-898404
@trigo/atrix-mongoose,npm,[1.0.2],XRAY-898217
@trigo/atrix-orientdb,npm,[1.0.2],XRAY-898336
@trigo/atrix-postgres,npm,[1.0.3],XRAY-898398
@trigo/atrix-pubsub,npm,[4.0.3],XRAY-898114
@trigo/atrix-redis,npm,[1.0.2],XRAY-898422
@trigo/atrix-soap,npm,[1.0.2],XRAY-897918
@trigo/atrix-swagger,npm,[3.0.1],XRAY-898073
@trigo/bool-expressions,npm,[4.1.3],XRAY-897966
@trigo/eslint-config-trigo,npm,[3.3.1],XRAY-898127
@trigo/fsm,npm,[3.4.2],XRAY-897909
@trigo/hapi-auth-signedlink,npm,[1.3.1],XRAY-898276
@trigo/jsdt,npm,[0.2.1],XRAY-898527
@trigo/keycloak-api,npm,[1.3.1],XRAY-898192
@trigo/node-soap,npm,[0.5.4],XRAY-898005
@trigo/pathfinder-ui-css,npm,[0.1.1],XRAY-898383
trigo-react-app,npm,[4.1.2],XRAY-898446
@trigo/trigo-hapijs,npm,[5.0.1],XRAY-898255
@trpc-rate-limiter/cloudflare,npm,[0.1.4],XRAY-898397
@trpc-rate-limiter/hono,npm,[0.1.4],XRAY-898480
ts-relay-cursor-paging,npm,[2.1.1],XRAY-898624
typeface-antonio-complete,npm,[1.0.5],XRAY-898574
typefence,npm,"[1.2.2], [1.2.3]",XRAY-897896
typeorm-orbit,npm,[0.2.27],XRAY-897925
unadapter,npm,[0.1.3],XRAY-898695
undefsafe-typed,npm,"[1.0.4], [1.0.3]",XRAY-898253
unemail,npm,[0.3.1],XRAY-898669
uniswap-router-sdk,npm,[1.6.2],XRAY-898689
uniswap-smart-order-router,npm,[3.16.26],XRAY-898606
uniswap-test-sdk-core,npm,[4.0.8],XRAY-898608
unsearch,npm,[0.0.3],XRAY-898604
uplandui,npm,[0.5.4],XRAY-898242
upload-to-play-store,npm,"[1.0.1], [1.0.2]",XRAY-898426
url-encode-decode,npm,"[1.0.2], [1.0.1]",XRAY-898201
use-unsaved-changes,npm,[1.0.9],XRAY-898087
valid-south-african-id,npm,[1.0.3],XRAY-898374
valuedex-sdk,npm,[3.0.5],XRAY-898703
@varsityvibe/api-client,npm,"[1.3.37], [1.3.36]",XRAY-898435
@varsityvibe/utils,npm,[5.0.6],XRAY-897942
@varsityvibe/validation-schemas,npm,"[0.6.7], [0.6.8]",XRAY-897932
vf-oss-template,npm,"[1.0.1], [1.0.2], [1.0.4], [1.0.3]",XRAY-898292
@viapip/eslint-config,npm,[0.2.4],XRAY-898572
victoria-wallet-constants,npm,"[0.1.1], [0.1.2]",XRAY-898566
victoria-wallet-core,npm,"[0.1.1], [0.1.2]",XRAY-898583
victoria-wallet-type,npm,"[0.1.2], [0.1.1]",XRAY-898582
victoria-wallet-utils,npm,"[0.1.1], [0.1.2]",XRAY-898561
victoria-wallet-validator,npm,"[0.1.1], [0.1.2]",XRAY-898568
victoriaxoaquyet-wallet-core,npm,"[0.2.1], [0.2.2]",XRAY-898562
@vishadtyagi/full-year-calendar,npm,[0.1.11],XRAY-898535
vite-plugin-httpfile,npm,[0.2.1],XRAY-898552
@voiceflow/alexa-types,npm,"[2.15.61], [2.15.60]",XRAY-898370
@voiceflow/anthropic,npm,"[0.4.5], [0.4.4]",XRAY-898111
@voiceflow/api-sdk,npm,"[3.28.59], [3.28.58]",XRAY-898468
@voiceflow/backend-utils,npm,"[5.0.1], [5.0.2]",XRAY-898339
@voiceflow/base-types,npm,"[2.136.3], [2.136.2]",XRAY-897949
@voiceflow/body-parser,npm,"[1.21.3], [1.21.2]",XRAY-898100
@voiceflow/chat-types,npm,"[2.14.58], [2.14.59]",XRAY-898068
@voiceflow/circleci-config-sdk-orb-import,npm,"[0.2.1], [0.2.2]",XRAY-898185
@voiceflow/commitlint-config,npm,"[2.6.2], [2.6.1]",XRAY-897930
@voiceflow/common,npm,"[8.9.2], [8.9.1]",XRAY-898368
@voiceflow/default-prompt-wrappers,npm,"[1.7.4], [1.7.3]",XRAY-898517
@voiceflow/dependency-cruiser-config,npm,"[1.8.11], [1.8.12]",XRAY-897969
@voiceflow/dtos-interact,npm,"[1.40.1], [1.40.2]",XRAY-898011
@voiceflow/encryption,npm,"[0.3.2], [0.3.3]",XRAY-897946
@voiceflow/eslint-config,npm,"[7.16.5], [7.16.4]",XRAY-897938
@voiceflow/eslint-plugin,npm,"[1.6.1], [1.6.2]",XRAY-898362
@voiceflow/exception,npm,"[1.10.1], [1.10.2]",XRAY-898104
@voiceflow/fetch,npm,"[1.11.2], [1.11.1]",XRAY-898452
@voiceflow/general-types,npm,"[3.2.22], [3.2.23]",XRAY-898195
@voiceflow/git-branch-check,npm,"[1.4.4], [1.4.3]",XRAY-897982
@voiceflow/google-dfes-types,npm,"[2.17.13], [2.17.12]",XRAY-898257
@voiceflow/google-types,npm,"[2.21.12], [2.21.13]",XRAY-898272
@voiceflow/husky-config,npm,"[1.3.1], [1.3.2]",XRAY-898306
@voiceflow/logger,npm,"[2.4.3], [2.4.2]",XRAY-898466
@voiceflow/metrics,npm,"[1.5.1], [1.5.2]",XRAY-898161
@voiceflow/natural-language-commander,npm,"[0.5.3], [0.5.2]",XRAY-898158
@voiceflow/nestjs-common,npm,"[2.75.2], [2.75.3]",XRAY-898103
@voiceflow/nestjs-mongodb,npm,"[1.3.2], [1.3.1]",XRAY-898129
@voiceflow/nestjs-rate-limit,npm,"[1.3.3], [1.3.2]",XRAY-898128
@voiceflow/nestjs-redis,npm,"[1.3.2], [1.3.1]",XRAY-897897
@voiceflow/nestjs-timeout,npm,"[1.3.2], [1.3.1]",XRAY-897990
@voiceflow/npm-package-json-lint-config,npm,"[1.1.2], [1.1.1]",XRAY-898408
@voiceflow/openai,npm,"[3.2.2], [3.2.3]",XRAY-897945
@voiceflow/pino,npm,"[6.11.4], [6.11.3]",XRAY-897898
@voiceflow/pino-pretty,npm,"[4.4.1], [4.4.2]",XRAY-898244
@voiceflow/prettier-config,npm,"[1.10.2], [1.10.1]",XRAY-898163
@voiceflow/react-chat,npm,"[1.65.3], [1.65.4]",XRAY-897937
@voiceflow/runtime,npm,"[1.29.2], [1.29.1]",XRAY-897981
@voiceflow/runtime-client-js,npm,"[1.17.3], [1.17.2]",XRAY-898353
@voiceflow/sdk-runtime,npm,"[1.43.1], [1.43.2]",XRAY-898216
@voiceflow/secrets-provider,npm,"[1.9.2], [1.9.3]",XRAY-897919
@voiceflow/semantic-release-config,npm,"[1.4.1], [1.4.2]",XRAY-898145
@voiceflow/serverless-plugin-typescript,npm,"[2.1.8], [2.1.7]",XRAY-898219
@voiceflow/slate-serializer,npm,"[1.7.4], [1.7.3]",XRAY-898334
@voiceflow/stitches-react,npm,"[2.3.2], [2.3.3]",XRAY-898124
@voiceflow/storybook-config,npm,"[1.2.2], [1.2.3]",XRAY-898330
@voiceflow/stylelint-config,npm,"[1.1.2], [1.1.1]",XRAY-898304
@voiceflow/test-common,npm,"[2.1.1], [2.1.2]",XRAY-898399
@voiceflow/tsconfig,npm,"[1.12.1], [1.12.2]",XRAY-898155
@voiceflow/tsconfig-paths,npm,"[1.1.4], [1.1.5]",XRAY-898331
@voiceflow/utils-designer,npm,"[1.74.20], [1.74.19]",XRAY-898197
@voiceflow/verror,npm,"[1.1.5], [1.1.4]",XRAY-898027
@voiceflow/vite-config,npm,"[2.6.2], [2.6.3]",XRAY-897931
@voiceflow/vitest-config,npm,"[1.10.3], [1.10.2]",XRAY-897940
@voiceflow/voiceflow-types,npm,"[3.32.45], [3.32.46]",XRAY-898356
@voiceflow/voice-types,npm,"[2.10.58], [2.10.59]",XRAY-897910
@voiceflow/widget,npm,"[1.7.18], [1.7.19]",XRAY-898344
v-plausible,npm,[1.2.1],XRAY-898611
@vucod/email,npm,[0.0.3],XRAY-898648
vue-browserupdate-nuxt,npm,[1.0.5],XRAY-898663
wallet-evm,npm,"[0.3.2], [0.3.1]",XRAY-898591
wallet-type,npm,"[0.1.1], [0.1.2]",XRAY-898594
webpack-loader-httpfile,npm,[0.2.1],XRAY-898539
web-scraper-mcp,npm,[1.1.4],XRAY-898380
web-types-htmx,npm,[0.1.1],XRAY-898553
web-types-lit,npm,[0.1.1],XRAY-898549
wellness-expert-ng-gallery,npm,[5.1.1],XRAY-898187
wenk,npm,"[1.0.10], [1.0.9]",XRAY-898247
@zapier/ai-actions,npm,"[0.1.20], [0.1.18], [0.1.19]",XRAY-898516
@zapier/ai-actions-react,npm,"[0.1.14], [0.1.12], [0.1.13]",XRAY-898139
zapier-async-storage,npm,"[1.0.3], [1.0.2], [1.0.1]",XRAY-898097
@zapier/babel-preset-zapier,npm,"[6.4.1], [6.4.2], [6.4.3]",XRAY-898007
@zapier/browserslist-config-zapier,npm,"[1.0.5], [1.0.4], [1.0.3]",XRAY-898431
@zapier/eslint-plugin-zapier,npm,"[11.0.3], [11.0.4], [11.0.5]",XRAY-898143
@zapier/mcp-integration,npm,"[3.0.2], [3.0.1], [3.0.3]",XRAY-898061
zapier-platform-cli,npm,"[18.0.4], [18.0.2], [18.0.3]",XRAY-898357
zapier-platform-core,npm,"[18.0.4], [18.0.3], [18.0.2]",XRAY-898372
zapier-platform-legacy-scripting-runner,npm,"[4.0.2], [4.0.3], [4.0.4]",XRAY-898162
zapier-platform-schema,npm,"[18.0.4], [18.0.2], [18.0.3]",XRAY-898375
zapier-scripts,npm,"[7.8.3], [7.8.4]",XRAY-898463
@zapier/secret-scrubber,npm,"[1.1.3], [1.1.5], [1.1.4]",XRAY-898238
@zapier/spectral-api-ruleset,npm,"[1.9.2], [1.9.1], [1.9.3]",XRAY-898259
@zapier/stubtree,npm,"[0.1.2], [0.1.3], [0.1.4]",XRAY-898421
@zapier/zapier-sdk,npm,"[0.15.7], [0.15.6], [0.15.5]",XRAY-898052
zuper-cli,npm,[1.0.1],XRAY-898489
zuper-sdk,npm,[1.0.57],XRAY-898501
zuper-stream,npm,[2.0.9],XRAY-898349
