package_name,package_type,versions,xray_ids
better-queue-nedb,npm,[0.1.5],XRAY-898750
bidirectional-adapter,npm,"[1.2.2], [1.2.5], [1.2.4], [1.2.3]",XRAY-898076
blinqio-executions-cli,npm,[1.0.41],XRAY-898376
blob-to-base64,npm,[1.0.3],XRAY-898338
bool-expressions,npm,[0.1.2],XRAY-898371
@browserbasehq/bb9,npm,[1.2.21],XRAY-898541
@browserbasehq/director-ai,npm,[1.0.3],XRAY-898554
@browserbasehq/mcp,npm,[2.1.1],XRAY-898537
@browserbasehq/mcp-server-browserbase,npm,[2.4.2],XRAY-898548
@browserbasehq/sdk-functions,npm,[0.0.4],XRAY-898540
@browserbasehq/stagehand,npm,[3.0.4],XRAY-898547
@browserbasehq/stagehand-docs,npm,[1.0.1],XRAY-898550
buffered-interpolation-babylon6,npm,[0.2.8],XRAY-898679
bun-plugin-httpfile,npm,[0.1.1],XRAY-898542
bytecode-checker-cli,npm,"[1.0.11], [1.0.9], [1.0.8], [1.0.10]",XRAY-897973
bytes-to-x,npm,[1.0.1],XRAY-898442
calc-loan-interest,npm,[1.0.4],XRAY-898239
capacitor-plugin-apptrackingios,npm,[0.0.21],XRAY-898385
capacitor-plugin-purchase,npm,[0.1.1],XRAY-898280
capacitor-plugin-scgssigninwithgoogle,npm,[0.0.5],XRAY-898417
capacitor-purchase-history,npm,[0.0.10],XRAY-898109
capacitor-voice-recorder-wav,npm,[6.0.3],XRAY-898363
@caretive/caret-cli,npm,[0.0.2],XRAY-898281
ceviz,npm,[0.0.5],XRAY-898631
chrome-extension-downloads,npm,"[0.0.3], [0.0.4]",XRAY-898287
@chtijs/eslint-config,npm,[1.0.1],XRAY-898577
claude-token-updater,npm,[1.0.3],XRAY-898003
@clausehq/flows-step-httprequest,npm,[0.1.14],XRAY-898366
@clausehq/flows-step-jsontoxml,npm,[0.1.14],XRAY-898313
@clausehq/flows-step-mqtt,npm,[0.1.14],XRAY-898065
@clausehq/flows-step-sendgridemail,npm,[0.1.14],XRAY-898262
@clausehq/flows-step-taskscreateurl,npm,[0.1.14],XRAY-898106
@cllbk/ghl,npm,[1.3.1],XRAY-898584
coinmarketcap-api,npm,"[3.1.2], [3.1.3]",XRAY-898175
colors-regex,npm,[2.0.1],XRAY-898023
command-irail,npm,[0.5.4],XRAY-898271
@commute/bloom,npm,[1.0.3],XRAY-898389
@commute/market-data,npm,[1.0.2],XRAY-898302
@commute/market-data-chartjs,npm,[2.3.1],XRAY-898329
compare-obj,npm,"[1.1.1], [1.1.2]",XRAY-898130
composite-reducer,npm,"[1.0.2], [1.0.5], [1.0.4], [1.0.3]",XRAY-897908
count-it-down,npm,"[1.0.1], [1.0.2]",XRAY-898021
cpu-instructions,npm,[0.0.14],XRAY-898070
create-director-app,npm,[0.1.1],XRAY-898551
create-glee-app,npm,"[0.2.2], [0.2.3]",XRAY-898305
create-hardhat3-app,npm,"[1.1.3], [1.1.1], [1.1.4], [1.1.2]",XRAY-898310
create-kinvey-flex-service,npm,[0.2.1],XRAY-898752
create-mcp-use-app,npm,"[0.5.3], [0.5.4]",XRAY-898228
create-silgi,npm,[0.3.1],XRAY-898680
crypto-addr-codec,npm,[0.1.9],XRAY-898153
css-dedoupe,npm,[0.1.2],XRAY-897964
csv-tool-cli,npm,[1.2.1],XRAY-898632
dashboard-empty-state,npm,[1.0.3],XRAY-898051
designstudiouiux,npm,[1.0.1],XRAY-898047
@dev-blinq/ai-qa-logic,npm,[1.0.19],XRAY-898499
@dev-blinq/blinqioclient,npm,[1.0.21],XRAY-898263
@dev-blinq/cucumber_client,npm,[1.0.738],XRAY-898126
@dev-blinq/cucumber-js,npm,[1.0.131],XRAY-898288
@dev-blinq/ui-systems,npm,[1.0.93],XRAY-898457
devstart-cli,npm,[1.0.6],XRAY-898521
dialogflow-es,npm,"[1.1.2], [1.1.1], [1.1.3], [1.1.4]",XRAY-898200
discord-bot-server,npm,[0.1.2],XRAY-897899
docusaurus-plugin-vanilla-extract,npm,[1.0.3],XRAY-897975
dont-go,npm,[1.1.2],XRAY-897999
dotnet-template,npm,"[0.0.4], [0.0.3]",XRAY-898230
drop-events-on-property-plugin,npm,[0.0.2],XRAY-898160
easypanel-sdk,npm,[0.3.2],XRAY-898714
electron-volt,npm,[0.0.2],XRAY-898751
email-deliverability-tester,npm,[1.1.1],XRAY-898505
enforce-branch-name,npm,[1.1.3],XRAY-897944
@ensdomains/address-encoder,npm,[1.1.5],XRAY-898080
@ensdomains/blacklist,npm,[1.0.1],XRAY-898390
@ensdomains/buffer,npm,[0.1.2],XRAY-898361
@ensdomains/ccip-read-cf-worker,npm,[0.0.4],XRAY-898141
@ensdomains/ccip-read-dns-gateway,npm,[0.1.1],XRAY-898001
@ensdomains/ccip-read-router,npm,[0.0.7],XRAY-898220
@ensdomains/ccip-read-worker-viem,npm,[0.0.4],XRAY-898323
@ensdomains/content-hash,npm,[3.0.1],XRAY-898150
@ensdomains/curvearithmetics,npm,[1.0.1],XRAY-898472
@ensdomains/cypress-metamask,npm,[1.2.1],XRAY-898386
@ensdomains/dnsprovejs,npm,[0.5.3],XRAY-898077
@ensdomains/dnssec-oracle-anchors,npm,[0.0.2],XRAY-898328
@ensdomains/dnssecoraclejs,npm,[0.2.9],XRAY-898178
@ensdomains/durin,npm,[0.1.2],XRAY-898018
@ensdomains/durin-middleware,npm,[0.0.2],XRAY-898092
@ensdomains/ens-archived-contracts,npm,[0.0.3],XRAY-898225
@ensdomains/ens-avatar,npm,[1.0.4],XRAY-897916
@ensdomains/ens-contracts,npm,[1.6.1],XRAY-898311
@ensdomains/ensjs,npm,[4.0.3],XRAY-898116
@ensdomains/ensjs-react,npm,[0.0.5],XRAY-898071
@ensdomains/ens-test-env,npm,[1.0.2],XRAY-898188
@ensdomains/ens-validation,npm,[0.1.1],XRAY-898513
@ensdomains/eth-ens-namehash,npm,[2.0.16],XRAY-898420
@ensdomains/hackathon-registrar,npm,[1.0.5],XRAY-898063
@ensdomains/hardhat-chai-matchers-viem,npm,[0.1.15],XRAY-898090
@ensdomains/hardhat-toolbox-viem-extended,npm,[0.0.6],XRAY-898252
@ensdomains/mock,npm,[2.1.52],XRAY-898204
@ensdomains/name-wrapper,npm,[1.0.1],XRAY-898298
@ensdomains/offchain-resolver-contracts,npm,[0.2.2],XRAY-898322
@ensdomains/op-resolver-contracts,npm,[0.0.2],XRAY-898359
@ensdomains/react-ens-address,npm,[0.0.32],XRAY-898341
@ensdomains/renewal,npm,[0.0.13],XRAY-898265
@ensdomains/renewal-widget,npm,[0.1.10],XRAY-898413
@ensdomains/reverse-records,npm,[1.0.1],XRAY-898099
@ensdomains/server-analytics,npm,[0.0.2],XRAY-898342
@ensdomains/solsha1,npm,[0.0.4],XRAY-898497
@ensdomains/subdomain-registrar,npm,[0.2.4],XRAY-897952
@ensdomains/test-utils,npm,[1.3.1],XRAY-898403
@ensdomains/thorin,npm,[0.6.51],XRAY-898429
@ensdomains/ui,npm,[3.4.6],XRAY-898132
@ensdomains/unicode-confusables,npm,[0.1.1],XRAY-898506
@ensdomains/unruggable-gateways,npm,[0.0.3],XRAY-898519
@ensdomains/vite-plugin-i18next-loader,npm,[4.0.4],XRAY-898286
@ensdomains/web3modal,npm,[1.10.2],XRAY-897994
esbuild-plugin-brotli,npm,[0.2.1],XRAY-898538
esbuild-plugin-eta,npm,[0.1.1],XRAY-898533
esbuild-plugin-httpfile,npm,[0.4.1],XRAY-898546
eslint-config-kinvey-flex-service,npm,[0.1.1],XRAY-898755
eslint-config-nitpicky,npm,[4.0.1],XRAY-897915
eslint-config-trigo,npm,[22.0.2],XRAY-898343
eslint-config-zeallat-base,npm,[1.0.4],XRAY-898167
ethereum-ens,npm,[0.8.1],XRAY-898346
@everreal/react-charts,npm,"[2.0.1], [2.0.2]",XRAY-898006
@everreal/validate-esmoduleinterop-imports,npm,"[1.4.4], [1.4.5]",XRAY-898345
@everreal/web-analytics,npm,"[0.0.1], [0.0.2]",XRAY-898261
evm-checkcode-cli,npm,"[1.0.15], [1.0.14], [1.0.13], [1.0.12]",XRAY-898176
exact-ticker,npm,[0.3.5],XRAY-898471
expo-audio-session,npm,[0.2.1],XRAY-898309
expo-router-on-rails,npm,[0.0.4],XRAY-898565
expressos,npm,[1.1.3],XRAY-898350
express-starter-template,npm,[1.0.10],XRAY-898590
@faq-component/core,npm,[0.0.4],XRAY-898500
@faq-component/react,npm,[1.0.1],XRAY-898199
fat-fingered,npm,"[1.0.2], [1.0.1]",XRAY-898072
feature-flip,npm,"[1.0.2], [1.0.1]",XRAY-898224
firestore-search-engine,npm,[1.2.3],XRAY-898008
@fishingbooker/browser-sync-plugin,npm,[1.0.5],XRAY-898044
@fishingbooker/react-loader,npm,[1.0.7],XRAY-898432
@fishingbooker/react-pagination,npm,[2.0.6],XRAY-898439
@fishingbooker/react-raty,npm,[2.0.1],XRAY-898449
@fishingbooker/react-swiper,npm,[0.1.5],XRAY-897963
fittxt,npm,"[1.0.2], [1.0.3]",XRAY-898024
flapstacks,npm,"[1.0.1], [1.0.2]",XRAY-898337
flatten-unflatten,npm,"[1.0.1], [1.0.2]",XRAY-898086
